ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
90,Voltage-gated inwardly rectifying potassium channel KCNH2,KCNH2,487738,U04270,Q12809,KCNH2_HUMAN,1BYW; 1UJL; 2L0W; 2L1M; 2L4R; 2LE7; 2N7G; 4HP9; 4HQA; 5VA1; 5VA2; 5VA3; 6SYG; 8IO4; 8IO5; 8IOB; 8ZYN; 8ZYO; 8ZYP; 8ZYQ; 9CHP; 9CHQ; 9CHR; 9CHS,KCNH2,KCNH2,HGNC:6251,Humans,DB00204; DB00252; DB00308; DB00477; DB00489; DB01035; DB01069; DB01100; DB01118; DB01182; DB01218; DB04855
91,"DNA topoisomerase I, mitochondrial",TOP1MT,15919359,AF349031,Q969P6,TOP1M_HUMAN,,TOP1MT,TOP1MT,HGNC:29787,Humans,DB00762
92,Muscarinic acetylcholine receptor M1,CHRM1,34451,X52068,P11229,ACM1_HUMAN,5CXV; 6OIJ; 6WJC; 6ZFZ; 6ZG4; 6ZG9,CHRM1,CHRM1,HGNC:1950,Humans,DB00185; DB00193; DB00219; DB00245; DB00332; DB00334; DB00340; DB00354; DB00366; DB00376; DB00383; DB00387; DB00392; DB00411; DB00424; DB00462; DB00477; DB00505; DB00508; DB00517; DB00572; DB00670; DB00725; DB00747; DB00767; DB00771; DB00782; DB00804; DB00809; DB00810; DB00942; DB00979; DB00986; DB01036; DB01062; DB01069; DB01085; DB01148; DB01231; DB01233; DB04843; DB08897; DB09089; DB09167; DB09262; DB11181; DB11855; DB12278; DB13581; DB19325
95,Cannabinoid receptor 2,CNR2,407807,X74328,P34972,CNR2_HUMAN,2KI9; 5ZTY; 6KPC; 6KPF; 6PT0; 8GUQ; 8GUR; 8GUS; 8GUT; 8X3L,CNR2,CNR2,HGNC:2160,Humans,DB00470; DB00486; DB09061; DB14011; DB16321
99,Cysteinyl leukotriene receptor 2,CYSLTR2,9663958,AB038269,Q9NS75,CLTR2_HUMAN,,CYSLTR2,CYSLTR2,HGNC:18274,Humans,DB00716; DB08855; DB11858
103,"Peptidoglycan D,D-transpeptidase MrdA",mrdA,1572976,L42023,P44469,MRDA_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303
105,Sterol O-acyltransferase 1,SOAT1,4878022,L21934,P35610,SOAT1_HUMAN,6L47; 6L48; 6P2J; 6P2P; 6VUM,SOAT1,SOAT1,HGNC:11177,Humans,DB00973; DB01094
110,P2Y purinoceptor 12,P2RY12,12083902,AF313449,Q9H244,P2Y12_HUMAN,4NTJ; 4PXZ; 4PY0; 7PP1; 7XXI,P2RY12,P2RY12,HGNC:18124,Humans,DB00208; DB00758; DB01069; DB01240; DB06209; DB06441; DB08816
112,Histamine H2 receptor,HRH2,184088,M64799,P25021,HRH2_HUMAN,7UL3; 8POK; 8YN3; 8YN4; 8YUT,HRH2,HRH2,HGNC:5183,Humans,DB00272; DB00501; DB00585; DB00751; DB00863; DB00927; DB00940; DB01069; DB01142; DB05381; DB08805; DB08806
113,DNA polymerase beta,POLB,292397,L11607,P06746,DPOLB_HUMAN,1BPX; 1BPY; 1BPZ; 1MQ2; 1MQ3; 1TV9; 1TVA; 1ZJM; 1ZJN; 1ZQA; 1ZQB; 1ZQC; 1ZQD; 1ZQE; 1ZQF; 1ZQG; 1ZQH; 1ZQI; 1ZQJ; 1ZQK; 1ZQL; 1ZQM; 1ZQN; 1ZQO; 1ZQP; 1ZQQ; 1ZQR; 1ZQS; 1ZQT; 2FMP; 2FMQ; 2FMS; 2I9G; 2ISO; 2ISP; 2P66; 2PXI; 3C2K; 3C2L; 3C2M; 3GDX; 3ISB; 3ISC; 3ISD; 3JPN; 3JPO; 3JPP; 3JPQ; 3JPR; 3JPS; 3JPT; 3LK9; 3MBY; 3OGU; 3RH4; 3RH5; 3RH6; 3RJE; 3RJF; 3RJG; 3RJH; 3RJI; 3RJJ; 3RJK; 3TFR; 3TFS; 4DO9; 4DOA; 4DOB; 4DOC; 4F5N; 4F5O; 4F5P; 4F5Q; 4F5R; 4GXI; 4GXJ; 4GXK; 4JWM; 4JWN; 4KLD; 4KLE; 4KLF; 4KLG; 4KLH; 4KLI; 4KLJ; 4KLL; 4KLM; 4KLO; 4KLQ; 4KLS; 4KLT; 4KLU; 4LVS; 4M2Y; 4M47; 4M9G; 4M9H; 4M9J; 4M9L; 4M9N; 4MF2; 4MF8; 4MFA; 4MFC; 4MFF; 4NLK; 4NLN; 4NLZ; 4NM1; 4NM2; 4NXZ; 4NY8; 4O5C; 4O5E; 4O5K; 4O9M; 4P2H; 4PGQ; 4PGX; 4PGY; 4PH5; 4PHA; 4PHD; 4PHE; 4PHP; 4PPX; 4R63; 4R64; 4R65; 4R66; 4RPX; 4RPY; 4RPZ; 4RQ0; 4RQ1; 4RQ2; 4RQ3; 4RQ4; 4RQ5; 4RQ6; 4RQ7; 4RQ8; 4RT2; 4RT3; 4TUP; 4TUQ; 4TUR; 4TUS; 4UAW; 4UAY; 4UAZ; 4UB1; 4UB2; 4UB3; 4UB4; 4UB5; 4UBB; 4UBC; 4YMM; 4YMN; 4YMO; 4YN4; 4Z6C; 4Z6D; 4Z6E; 4Z6F; 5BOL; 5BOM; 5BPC; 5DB6; 5DB7; 5DB8; 5DB9; 5DBA; 5DBB; 5DBC; 5EOZ; 5HHH; 5HHI; 5J0O; 5J0P; 5J0Q; 5J0R; 5J0S; 5J0T; 5J0U; 5J0W; 5J0X; 5J0Y; 5J29; 5J2A; 5J2B; 5J2C; 5J2D; 5J2E; 5J2F; 5J2G; 5J2H; 5J2I; 5J2J; 5J2K; 5TB8; 5TB9; 5TBA; 5TBB; 5TBC; 5TZV; 5U2R; 5U2S; 5U2T; 5U8G; 5U8H; 5U8I; 5U9H; 5UGN; 5UGO; 5UGP; 5V1F; 5V1G; 5V1H; 5V1I; 5V1J; 5V1N; 5V1O; 5V1P; 5V1R; 5VEZ; 5VRW; 5VRX; 5VRY; 5VRZ; 5VS0; 5VS1; 5VS2; 5VS3; 5VS4; 5WNX; 5WNY; 5WNZ; 5WO0; 6BEL; 6BEM; 6BTE; 6BTF; 6CLY; 6CPQ; 6CR3; 6CR4; 6CR5; 6CR6; 6CR7; 6CR8; 6CR9; 6CRB; 6CRC; 6CRH; 6CTI; 6CTJ; 6CTK; 6CTL; 6CTM; 6CTN; 6CTO; 6CTP; 6CTQ; 6CTR; 6CTT; 6CTU; 6CTV; 6CTW; 6CTX; 6CU9; 6CUA; 6CUB; 6DIA; 6DIC; 6E3R; 6E3V; 6E3W; 6E3X; 6G2Q; 6MR7; 6MR8; 6N2R; 6N2S; 6N2T; 6NKR; 6NKS; 6NKT; 6NKU; 6NKV; 6NKW; 6NKX; 6NKY; 6NKZ; 6NL0; 6PH5; 6PH6; 6PKZ; 6U2O; 6U6B; 6UOK; 6UOL; 6UOM; 6W2M; 7ICE; 7ICF; 7ICG; 7ICH; 7ICI; 7ICJ; 7ICK; 7ICL; 7ICM; 7ICN; 7ICO; 7ICP; 7ICQ; 7ICR; 7ICS; 7ICT; 7ICU; 7ICV; 7K96; 7K97; 7MZ0; 7MZ1; 7MZ2; 7MZ3; 7MZ4; 7MZ8; 7RBE; 7RBF; 7RBG; 7RBH; 7RBI; 7RBJ; 7RBK; 7RBL; 7RBM; 7RBN; 7RBO; 7S9J; 7S9K; 7S9L; 7S9M; 7S9N; 7S9O; 7S9P; 7S9Q; 8ICA; 8ICB; 8ICC; 8ICE; 8ICF; 8ICG; 8ICH; 8ICI; 8ICJ; 8ICK; 8ICL; 8ICM; 8ICN; 8ICO; 8ICP; 8ICQ; 8ICR; 8ICS; 8ICT; 8ICU; 8ICV; 8ICW; 8ICX; 8ICY; 8ICZ; 8VF8; 8VF9; 8VFA; 8VFB; 8VFC; 8VFD; 8VFE; 8VFF; 8VFG; 8VFH; 8VFI; 8VFJ; 9DWG; 9DWH; 9DWI; 9DWK; 9DWM; 9ICA; 9ICB; 9ICC; 9ICE; 9ICF; 9ICG; 9ICH; 9ICI; 9ICJ; 9ICK; 9ICL; 9ICM; 9ICN; 9ICO; 9ICP; 9ICQ; 9ICR; 9ICS; 9ICT; 9ICU; 9ICV; 9ICW; 9ICX; 9ICY,POLB,POLB,HGNC:9174,Humans,DB00987
114,Quinone-dependent D-lactate dehydrogenase,dld,145753,M10038,P06149,DLD_ECOLI,1F0X,,,,Escherichia coli (strain K12),DB00756
116,Evolved beta-galactosidase subunit alpha,ebgA,145821,M64441,P06864,BGA2_ECOLI,,,,,Escherichia coli (strain K12),DB00581
117,Prostacyclin synthase,PTGIS,10944956,D38145,Q16647,PTGIS_HUMAN,2IAG; 3B6H,PTGIS,PTGIS,HGNC:9603,Humans,DB00812; DB01240
118,Synaptic vesicular amine transporter,SLC18A2,292335,L09118,Q05940,VMAT2_HUMAN,8JSW; 8JSX; 8JT5; 8JT9; 8JTA; 8JTB; 8JTC; 8T69; 8T6A; 8T6B; 8THR; 8UCJ; 8UCK; 8UCL; 8UCM; 8UCN; 8UCO; 8UCP; 8WLJ; 8WLK; 8WLL; 8WLM; 8WRD; 8WRE; 8WVG; 8X3K; 8XO9; 8XOA; 8XOB; 9KQ8; 9KQA; 9KQE,SLC18A2,SLC18A2,HGNC:10935,Humans,DB00182; DB00206; DB00865; DB01089; DB01363; DB01442; DB01454; DB01472; DB01576; DB01577; DB04844; DB06706; DB06714; DB09363; DB12161
119,Phospholipid-transporting ATPase ABCA1,ABCA1,9247086,AF275948,O95477,ABCA1_HUMAN,5XJY; 7ROQ; 7TBW; 7TBY; 7TBZ; 7TC0; 7TDT,ABCA1,ABCA1,HGNC:29,Humans,DB01599
121,Tryptophan 5-hydroxylase 1,TPH1,37955,X52836,P17752,TPH1_HUMAN,1MLW; 3HF6; 3HF8; 3HFB; 5J6D; 5L01; 5TPG; 7ZIF; 7ZIG; 7ZIH; 7ZII; 7ZIJ; 7ZIK; 8CJI; 8CJJ; 8CJK; 8CJL; 8CJM; 8CJN; 8CJO,TPH1,TPH1,HGNC:12008,Humans,DB00360; DB12095
123,Estrogen receptor,ESR1,31234,X03635,P03372,ESR1_HUMAN,1A52; 1ERE; 1ERR; 1G50; 1GWQ; 1GWR; 1HCP; 1HCQ; 1L2I; 1PCG; 1QKT; 1QKU; 1R5K; 1SJ0; 1UOM; 1X7E; 1X7R; 1XP1; 1XP6; 1XP9; 1XPC; 1XQC; 1YIM; 1YIN; 1ZKY; 2AYR; 2B1V; 2B1Z; 2B23; 2BJ4; 2FAI; 2G44; 2G5O; 2I0J; 2IOG; 2IOK; 2JF9; 2JFA; 2LLO; 2LLQ; 2OCF; 2OUZ; 2P15; 2POG; 2Q6J; 2Q70; 2QA6; 2QA8; 2QAB; 2QE4; 2QGT; 2QGW; 2QH6; 2QR9; 2QSE; 2QXM; 2QXS; 2QZO; 2R6W; 2R6Y; 2YAT; 2YJA; 3CBM; 3CBO; 3CBP; 3DT3; 3ERD; 3ERT; 3HLV; 3HM1; 3L03; 3OS8; 3OS9; 3OSA; 3Q95; 3UU7; 3UUA; 3UUC; 3UUD; 4AA6; 4DMA; 4IU7; 4IUI; 4IV2; 4IV4; 4IVW; 4IVY; 4IW6; 4IW8; 4IWC; 4IWF; 4JC3; 4JDD; 4MG5; 4MG6; 4MG7; 4MG8; 4MG9; 4MGA; 4MGB; 4MGC; 4MGD; 4O6F; 4PP6; 4PPP; 4PPS; 4PXM; 4Q13; 4Q50; 4TUZ; 4TV1; 4XI3; 4ZN7; 4ZN9; 4ZNH; 4ZNS; 4ZNT; 4ZNU; 4ZNV; 4ZNW; 5AAU; 5AAV; 5ACC; 5AK2; 5DI7; 5DID; 5DIE; 5DIG; 5DK9; 5DKB; 5DKE; 5DKG; 5DKS; 5DL4; 5DLR; 5DMC; 5DMF; 5DP0; 5DRJ; 5DRM; 5DTV; 5DU5; 5DUE; 5DUG; 5DUH; 5DVS; 5DVV; 5DWE; 5DWG; 5DWI; 5DWJ; 5DX3; 5DXB; 5DXE; 5DXG; 5DXK; 5DXM; 5DXP; 5DXQ; 5DXR; 5DY8; 5DYB; 5DYD; 5DZ0; 5DZ1; 5DZ3; 5DZH; 5DZI; 5E0W; 5E0X; 5E14; 5E15; 5E19; 5E1C; 5EGV; 5EHJ; 5EI1; 5EIT; 5FQP; 5FQR; 5FQS; 5FQT; 5FQV; 5GS4; 5GTR; 5HYR; 5JMM; 5KCC; 5KCD; 5KCE; 5KCF; 5KCT; 5KCU; 5KCW; 5KD9; 5KR9; 5KRA; 5KRC; 5KRF; 5KRH; 5KRI; 5KRJ; 5KRK; 5KRL; 5KRM; 5KRO; 5N10; 5T0X; 5T1Z; 5T92; 5T97; 5TLD; 5TLF; 5TLG; 5TLL; 5TLM; 5TLO; 5TLP; 5TLT; 5TLU; 5TLV; 5TLX; 5TLY; 5TM1; 5TM2; 5TM3; 5TM4; 5TM5; 5TM6; 5TM7; 5TM8; 5TM9; 5TML; 5TMM; 5TMO; 5TMQ; 5TMR; 5TMS; 5TMT; 5TMU; 5TMV; 5TMW; 5TMZ; 5TN1; 5TN3; 5TN4; 5TN5; 5TN6; 5TN7; 5TN8; 5TN9; 5TNB; 5U2B; 5U2D; 5UFW; 5UFX; 5W9C; 5W9D; 5WGD; 5WGQ; 6B0F; 6C42; 6CBZ; 6CHW; 6CHZ; 6CZN; 6D0F; 6DF6; 6DFN; 6HHP; 6HKB; 6HKF; 6HMU; 6IAR; 6OWC; 6PET; 6PFM; 6PIT; 6PSJ; 6SBO; 6SQ0; 6SUO; 6TJM; 6TL3; 6V87; 6V8T; 6VGH; 6VJD; 6VPF; 6WOK; 6ZOQ; 6ZOR; 6ZOS; 7B9M; 7B9R; 7B9T; 7BA3; 7BA5; 7BA6; 7BA7; 7BA8; 7BA9; 7BAA; 7BAB; 7JHD; 7KBS; 7MSA; 7N9O; 7NDO; 7NEL; 7NFB; 7NFW; 7NIZ; 7OPW; 7OQ7; 7OQ8; 7PWT; 7PWZ; 7QVJ; 7QVL; 7R62; 7RKE; 7RNM; 7RRX; 7RRY; 7RRZ; 7RS0; 7RS1; 7RS2; 7RS3; 7RS4; 7RS7; 7RS8; 7RS9; 7SFO; 7T2X; 7TE7; 7UJ7; 7UJ8; 7UJC; 7UJF; 7UJM; 7UJO; 7UJW; 7UJY; 7WNV; 7Y8F; 7Y8G; 7YMK; 8AFN; 8AI0; 8ALR; 8ALT; 8ALV; 8ALW; 8AM7; 8ANF; 8AOY; 8APS; 8AQ1; 8AQC; 8AQE; 8AQZ; 8AR4; 8AR5; 8ARG; 8ARO; 8ARQ; 8ARR; 8ARW; 8ARX; 8ARY; 8ARZ; 8AS1; 8AT9; 8ATP; 8AU2; 8AUS; 8AUY; 8AV3; 8AV4; 8AV7; 8AV8; 8AWG; 8AXE; 8AXU; 8AZE; 8B39; 8BWJ; 8BWX; 8BWZ; 8BX0; 8BX3; 8BX4; 8BXI; 8BXM; 8BXN; 8BXO; 8BXQ; 8BXS; 8BY9; 8BYB; 8BYC; 8BYD; 8BYE; 8BYF; 8BYG; 8BYO; 8BYY; 8BYZ; 8BZ0; 8BZ9; 8BZA; 8BZB; 8BZC; 8BZD; 8BZE; 8BZF; 8BZG; 8BZH; 8BZT; 8BZW; 8C04; 8C0K; 8C0L; 8C42; 8C4F; 8C4G; 8DU6; 8DU8; 8DU9; 8DUB; 8DUC; 8DUD; 8DUG; 8DUH; 8DUI; 8DUK; 8DUS; 8DV5; 8DV7; 8DV8; 8DVB; 8EV1; 8EV2; 8VYT; 8VYX; 8VZ0; 8VZ1; 8VZP; 8VZQ; 8W03; 8W07; 9BPX; 9BQE; 9BU1,ESR1,ESR1,HGNC:3467,Humans,DB00255; DB00269; DB00286; DB00304; DB00367; DB00481; DB00539; DB00603; DB00648; DB00655; DB00675; DB00783; DB00823; DB00882; DB00890; DB00947; DB00957; DB00977; DB01108; DB01185; DB01196; DB01357; DB01406; DB04468; DB04573; DB04574; DB04575; DB04938; DB06202; DB06374; DB06401; DB06735; DB06871; DB07708; DB07712; DB08048; DB08398; DB09070; DB09317; DB09318; DB09369; DB11619; DB12015; DB12235; DB13952; DB13953; DB13954; DB13955; DB13956; DB14641; DB19043
127,Small ribosomal subunit protein uS9,rpsI,535073,X02130,P0A7X3,RS9_ECOLI,1M5G; 2YKR; 3J9Y; 3J9Z; 3JA1; 4A2I; 4ADV; 4U1U; 4U1V; 4U20; 4U24; 4U25; 4U26; 4U27; 4V47; 4V48; 4V4H; 4V4Q; 4V4V; 4V4W; 4V50; 4V52; 4V53; 4V54; 4V55; 4V56; 4V57; 4V5B; 4V5H; 4V5Y; 4V64; 4V65; 4V66; 4V69; 4V6C; 4V6D; 4V6E; 4V6K; 4V6L; 4V6M; 4V6N; 4V6O; 4V6P; 4V6Q; 4V6R; 4V6S; 4V6T; 4V6V; 4V6Y; 4V6Z; 4V70; 4V71; 4V72; 4V73; 4V74; 4V75; 4V76; 4V77; 4V78; 4V79; 4V7A; 4V7B; 4V7C; 4V7D; 4V7I; 4V7S; 4V7T; 4V7U; 4V7V; 4V85; 4V89; 4V9C; 4V9D; 4V9O; 4V9P; 4WF1; 4WOI; 4WWW; 4YBB; 5AFI,,,,Escherichia coli (strain K12),DB00560; DB00595; DB01017; DB01301
129,Gamma-aminobutyric acid receptor subunit rho-1,GABRR1,182911,M62400,P24046,GBRR1_HUMAN,8OP9; 8OQ6; 8OQ7; 8OQ8; 8OQA; 8RH4; 8RH7; 8RH8; 8RH9; 8RHG,GABRR1,GABRR1,HGNC:4090,Humans,DB00431; DB00466; DB01567
130,Hemoglobin subunit alpha,HBA1,386764,J00153,P69905,HBA_HUMAN,1A00; 1A01; 1A0U; 1A0Z; 1A3N; 1A3O; 1A9W; 1ABW; 1ABY; 1AJ9; 1B86; 1BAB; 1BBB; 1BIJ; 1BUW; 1BZ0; 1BZ1; 1BZZ; 1C7B; 1C7C; 1C7D; 1CLS; 1CMY; 1COH; 1DKE; 1DXT; 1DXU; 1DXV; 1FDH; 1FN3; 1G9V; 1GBU; 1GBV; 1GLI; 1GZX; 1HAB; 1HAC; 1HBA; 1HBB; 1HBS; 1HCO; 1HDB; 1HGA; 1HGB; 1HGC; 1HHO; 1IRD; 1J3Y; 1J3Z; 1J40; 1J41; 1J7S; 1J7W; 1J7Y; 1JY7; 1K0Y; 1K1K; 1KD2; 1LFL; 1LFQ; 1LFT; 1LFV; 1LFY; 1LFZ; 1LJW; 1M9P; 1MKO; 1NEJ; 1NIH; 1NQP; 1O1I; 1O1J; 1O1K; 1O1L; 1O1M; 1O1N; 1O1O; 1O1P; 1QI8; 1QSH; 1QSI; 1QXD; 1QXE; 1R1X; 1R1Y; 1RPS; 1RQ3; 1RQ4; 1RQA; 1RVW; 1SDK; 1SDL; 1SHR; 1SI4; 1THB; 1UIW; 1VWT; 1XXT; 1XY0; 1XYE; 1XZ2; 1XZ4; 1XZ5; 1XZ7; 1XZU; 1XZV; 1Y01; 1Y09; 1Y0A; 1Y0C; 1Y0D; 1Y0T; 1Y0W; 1Y22; 1Y2Z; 1Y31; 1Y35; 1Y45; 1Y46; 1Y4B; 1Y4F; 1Y4G; 1Y4P; 1Y4Q; 1Y4R; 1Y4V; 1Y5F; 1Y5J; 1Y5K; 1Y7C; 1Y7D; 1Y7G; 1Y7Z; 1Y83; 1Y85; 1Y8W; 1YDZ; 1YE0; 1YE1; 1YE2; 1YEN; 1YEO; 1YEQ; 1YEU; 1YEV; 1YFF; 1YG5; 1YGD; 1YGF; 1YH9; 1YHE; 1YHR; 1YIE; 1YIH; 1YVQ; 1YVT; 1YZI; 1Z8U; 2D5Z; 2D60; 2DN1; 2DN2; 2DN3; 2DXM; 2H35; 2HBC; 2HBD; 2HBE; 2HBF; 2HBS; 2HCO; 2HHB; 2HHD; 2HHE; 2M6Z; 2W6V; 2W72; 2YRS; 3B75; 3D17; 3D7O; 3DUT; 3HHB; 3HXN; 3IA3; 3IC0; 3IC2; 3KMF; 3NL7; 3NMM; 3ODQ; 3ONZ; 3OO4; 3OO5; 3OVU; 3P5Q; 3QJB; 3QJC; 3QJD; 3QJE; 3R5I; 3S48; 3S65; 3S66; 3SZK; 3WCP; 3WHM; 4FC3; 4HHB; 4IJ2; 4L7Y; 4M4A; 4M4B; 4MQC; 4MQG; 4MQH; 4MQI; 4MQJ; 4MQK; 4N7N; 4N7O; 4N7P; 4N8T; 4NI0; 4NI1; 4ROL; 4ROM; 4WJG; 4X0L; 4XS0; 5E29; 5E6E; 5E83; 5EE4; 5HU6; 5HY8; 5JDO; 5KDQ; 5KSI; 5KSJ; 5NI1; 5SW7; 5U3I; 5UCU; 5UFJ; 5URC; 5VMM; 5WOG; 5WOH; 5X2R; 5X2S; 5X2T; 5X2U; 6BB5; 6BNR; 6BWP; 6BWU; 6DI4; 6HAL; 6HBW; 6HK2; 6KA9; 6KAE; 6KAH; 6KAI; 6KAO; 6KAP; 6KAQ; 6KAR; 6KAS; 6KAT; 6KAU; 6KAV; 6KYE; 6L5V; 6L5W; 6L5X; 6L5Y; 6LCW; 6LCX; 6NBC; 6NBD; 6NQ5; 6TB2; 6XD9; 6XDT; 6XE7; 7AET; 7AEU; 7AEV; 7CUE; 7DY3; 7DY4; 7JJQ; 7JXZ; 7JY0; 7JY1; 7JY3; 7K4M; 7PCF; 7PCH; 7PCQ; 7QU4; 7UD7; 7UD8; 7UF6; 7UF7; 7UVB; 7VDE; 7XGY; 8DOV; 8EGI; 8FDK; 8FDL; 8FDM; 8FDN; 8VYL; 8WJ0; 8WJ1; 8WJ2; 8WXW; 8XMP; 8XMQ; 8XMW; 9AV9; 9AYZ; 9BCJ; 9FHB; 9FMU; 9FNO,HBA2,HBA1,HGNC:4824,Humans,DB00893; DB01592; DB02126; DB06154; DB07427; DB07428; DB07645; DB08262; DB08486; DB08632; DB09112; DB09147; DB13257; DB13995; DB14975
132,Androgen receptor,AR,178628,M20132,P10275,ANDR_HUMAN,1E3G; 1GS4; 1T5Z; 1T63; 1T65; 1XJ7; 1XOW; 1XQ3; 1Z95; 2AM9; 2AMA; 2AMB; 2AO6; 2AX6; 2AX7; 2AX8; 2AX9; 2AXA; 2HVC; 2OZ7; 2PIO; 2PIP; 2PIQ; 2PIR; 2PIT; 2PIU; 2PIV; 2PIW; 2PIX; 2PKL; 2PNU; 2Q7I; 2Q7J; 2Q7K; 2Q7L; 2YHD; 2YLO; 2YLP; 2YLQ; 2Z4J; 3B5R; 3B65; 3B66; 3B67; 3B68; 3BTR; 3L3X; 3L3Z; 3RLJ; 3RLL; 3V49; 3V4A; 3ZQT; 4HLW; 4K7A; 4OEA; 4OED; 4OEY; 4OEZ; 4OFR; 4OFU; 4OGH; 4OH5; 4OH6; 4OHA; 4OIL; 4OIU; 4OJ9; 4OJB; 4OK1; 4OKB; 4OKT; 4OKW; 4OKX; 4OLM; 4QL8; 5CJ6; 5JJM; 5T8E; 5T8J; 5V8Q; 5VO4; 7ZTX; 7ZTZ; 7ZU1; 7ZU2; 8E1A; 8FGY; 8FGZ; 8FH0; 8FH1; 8FH2; 8RM6; 8RM7,AR,AR,HGNC:644,Humans,DB00499; DB00621; DB00624; DB00665; DB00858; DB00984; DB01128; DB01185; DB01395; DB01406; DB01420; DB01481; DB01541; DB01564; DB02266; DB02901; DB04839; DB06133; DB06412; DB06710; DB06718; DB07286; DB07423; DB08089; DB08804; DB08899; DB09123; DB09389; DB11425; DB11429; DB11619; DB11901; DB12499; DB12941; DB13943; DB13944; DB13946; DB14639
133,"Aldehyde dehydrogenase, mitochondrial",ALDH2,28606,X05409,P05091,ALDH2_HUMAN,1CW3; 1NZW; 1NZX; 1NZZ; 1O00; 1O01; 1O02; 1O04; 1O05; 1ZUM; 2ONM; 2ONN; 2ONO; 2ONP; 2VLE; 3INJ; 3INL; 3N80; 3N81; 3N82; 3N83; 3SZ9; 4FQF; 4FR8; 4KWF; 4KWG; 5L13; 8DR9; 8SHS,ALDH2,ALDH2,HGNC:404,Humans,DB00536; DB00822; DB02115
134,Lutropin-choriogonadotropic hormone receptor,LHCGR,903746,M73746,P22888,LSHR_HUMAN,7FIG; 7FIH; 7FII; 7FIJ,LHCGR,LHCGR,HGNC:6585,Humans,DB00014; DB00032; DB00044; DB00097; DB06719; DB09126
136,Cationic amino acid transporter 3,SLC7A3,17224957,AF320612,Q8WY07,CTR3_HUMAN,,SLC7A3,SLC7A3,HGNC:11061,Humans,DB13146
138,Dopamine beta-hydroxylase,DBH,30474,X13255,P09172,DOPO_HUMAN,4ZEL,DBH,DBH,HGNC:2689,Humans,DB00822; DB00988
141,Sodium channel protein type 1 subunit alpha,SCN1A,12642270,AF225985,P35498,SCN1A_HUMAN,7DTD,SCN1A,SCN1A,HGNC:10585,Humans,DB00252; DB00273; DB00555; DB00564; DB00907; DB00909; DB01069; DB01121; DB01161; DB01438; DB04930; DB05541; DB06119; DB09009; DB09085; DB09088; DB09342; DB09345; DB13269
142,Penicillin-binding protein 2B,penA,14973165,AE005672,P0A3M5,PBP2_STRPN,,,,,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),DB01150
143,Tubulin beta chain,TUBB,338695,J00314,P07437,TBB5_HUMAN,3QNZ; 3QO0; 5N5N; 6I2I; 6QUS; 6QUY; 6QVE; 6QVJ; 7TRG; 7TTN; 7TTT; 7TUB; 7X0S; 8BPO; 8T42; 8U3Z; 8V2J; 9BP6,TUBB,TUBB,HGNC:20778,Humans,DB00361; DB00541; DB00570; DB01179; DB01394; DB06137; DB08974; DB11641; DB11731
144,Retinoic acid receptor gamma,RARG,306887,M24857,P13631,RARG_HUMAN,1EXA; 1EXX; 1FCX; 1FCY; 1FCZ; 1FD0; 2LBD; 3LBD; 4LBD; 5M24; 6FX0,RARG,RARG,HGNC:9866,Humans,DB00210; DB00459; DB00523; DB00755; DB00799; DB00926; DB00982; DB02741; DB03279; DB03466; DB07031; DB12808
145,D(1B) dopamine receptor,DRD5,32049,X58454,P21918,DRD5_HUMAN,8IRV,DRD5,DRD5,HGNC:3026,Humans,DB00334; DB00477; DB00714; DB00800; DB00988; DB01038; DB01049; DB01186; DB01235; DB01624; DB05271; DB09225; DB11274; DB11275; DB11584; DB13345
146,Histamine H4 receptor,HRH4,10241847,AB044934,Q9H3N8,HRH4_HUMAN,7YFC; 7YFD; 8HN8; 8HOC; 8JXT; 8JXV; 8JXW; 8JXX; 8YN9; 8YNA,HRH4,HRH4,HGNC:17383,Humans,DB01620
147,Receptor-type tyrosine-protein kinase FLT3,FLT3,409573,U02687,P36888,FLT3_HUMAN,1RJB; 3QS7; 3QS9; 4RT7; 4XUF; 5X02; 6IL3; 6JQR; 7QDP; 7ZV9; 8XB1,FLT3,FLT3,HGNC:3765,Humans,DB00398; DB01268; DB06595; DB08875; DB11697; DB12141; DB12267; DB12500; DB12978
152,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,3766467,Y11192,P51649,SSDH_HUMAN,2W8N; 2W8O; 2W8P; 2W8Q; 2W8R,ALDH5A1,ALDH5A1,HGNC:408,Humans,DB00139
155,Toll-like receptor 7,TLR7,7330281,AF240467,Q9NYK1,TLR7_HUMAN,7CYN,TLR7,TLR7,HGNC:15631,Humans,DB00724; DB01611; DB04860; DB06530
156,Sigma non-opioid intracellular receptor 1,SIGMAR1,1783387,U75283,Q99720,SGMR1_HUMAN,5HK1; 5HK2; 6DJZ; 6DK0; 6DK1,SIGMAR1,OPRS1,HGNC:8157,Humans,DB00514; DB00574; DB00652; DB01488; DB09014; DB11186
